,Year_Month,Sum of Sales
177,2008-01,381696.5099999995
178,2008-02,430305.8499999997
179,2008-03,451627.8099999988
180,2008-04,467417.47999999963
181,2008-05,462676.36999999953
182,2008-06,448702.12000000034
183,2008-07,500439.8399999997
184,2008-08,435560.54000000056
185,2008-09,434402.53000000044
186,2008-10,447714.7899999996
187,2008-11,367527.06999999913
188,2008-12,338708.0899999998
189,2009-01,373876.5500000001
190,2009-02,425350.9300000006
191,2009-03,435296.8199999997
192,2009-04,380974.7699999997
193,2009-05,408980.9000000001
194,2009-06,423990.9599999996
195,2009-07,446763.1499999999
196,2009-08,400480.95999999944
197,2009-09,440180.15999999933
198,2009-10,551296.4899999999
199,2009-11,440301.6999999995
200,2009-12,419378.3299999999
201,2010-01,455511.09
202,2010-02,1009215.4300000012
203,2010-03,613928.6200000002
204,2010-04,542809.2900000002
205,2010-05,506190.7699999991
206,2010-06,525218.3599999988
207,2010-07,526050.7500000009
208,2010-08,553959.45
209,2010-09,517422.66999999917
210,2010-10,526228.7399999993
211,2010-11,488215.42999999976
212,2010-12,448373.6699999997
213,2011-01,498378.8600000003
214,2011-02,503011.8600000006
215,2011-03,671393.7899999999
216,2011-04,612894.4499999995
217,2011-05,664604.8400000011
218,2011-06,552679.8100000008
219,2011-07,498445.40999999974
220,2011-08,618720.9800000051
221,2011-09,569145.8799999995
222,2011-10,565695.3299999998
223,2011-11,491944.68
224,2011-12,447060.65000000066
225,2012-01,425860.8100000003
226,2012-02,374817.1599999999
227,2012-03,450000.35999999987
228,2012-04,436022.35999999987
229,2012-05,465111.9200000002
230,2012-06,452439.57000000024
231,2012-07,400012.7700000002
232,2012-08,572229.9600000004
233,2012-09,374181.76999999996
234,2012-10,457266.1900000004
235,2012-11,390726.1699999998
236,2012-12,365944.88000000024
237,2013-01,450219.64
238,2013-02,376444.4000000001
239,2013-03,450196.43
240,2013-04,578736.38
241,2013-05,456302.64000000013
242,2013-06,454111.1600000001
243,2013-07,476070.0400000003
244,2013-08,472414.71000000025
245,2013-09,401616.8100000001
246,2013-10,494633.8500000003
247,2013-11,334956.72999999986
248,2013-12,435530.1699999999
249,2014-01,332240.6500000001
250,2014-02,497974.24
251,2014-03,474818.9000000001
252,2014-04,410986.4700000002
253,2014-05,499166.41000000027
254,2014-06,468447.56000000006
255,2014-07,482979.9299999997
256,2014-08,392565.92
257,2014-09,531115.77
258,2014-10,480061.26999999967
259,2014-11,417520.83999999997
260,2014-12,427154.1099999999
261,2015-01,416050.02999999997
262,2015-02,434616.80999999994
263,2015-03,545153.9099999999
264,2015-04,462644.3300000002
265,2015-05,529525.34
266,2015-06,239083.80999999985
267,2015-07,436667.4000000001
268,2015-08,383529.80999999994
269,2015-09,455992.08000000025
270,2015-10,344439.17999999993
271,2015-11,326375.46
272,2015-12,405420.72999999975
273,2016-01,368263.37999999995
274,2016-02,388353.18999999994
275,2016-03,407765.12000000034
276,2016-04,407365.2900000002
277,2016-05,378694.6199999999
278,2016-06,459013.36000000034
279,2016-07,348373.33000000025
280,2016-08,511345.76999999984
281,2016-09,391256.8300000001
282,2016-10,337982.3700000001
283,2016-11,334031.9700000001
284,2016-12,352484.89
285,2017-01,411610.2600000003
286,2017-02,417977.00999999966
287,2017-03,432565.1700000002
288,2017-04,464714.52999999985
289,2017-05,369806.85
290,2017-06,486335.8300000001
291,2017-07,378053.77000000025
292,2017-08,443671.42999999964
293,2017-09,452598.2399999997
294,2017-10,400498.2400000001
295,2017-11,375167.42000000004
296,2017-12,324976.27999999997
297,2018-01,469567.97
298,2018-02,434532.38000000024
299,2018-03,361638.8299999996
300,2018-04,490212.21
301,2018-05,521786.43999999994
302,2018-06,518933.42999999993
303,2018-07,555604.7
304,2018-08,791574.9599999995
305,2018-09,440077.9599999997
306,2018-10,632492.03
307,2018-11,656338.1200000001
308,2018-12,751298.6300000004
309,2019-01,683536.5999999999
310,2019-02,629214.8899999998
311,2019-03,540718.7100000002
312,2019-04,516976.62999999995
313,2019-05,582615.1399999997
314,2019-06,576267.3500000001
315,2019-07,624404.46
316,2019-08,657253.8000000003
317,2019-09,664015.7699999998
318,2019-10,751862.0200000004
319,2019-11,415372.41
320,2019-12,391842.2899999998
321,2020-01,530925.7699999998
322,2020-02,649827.0399999998
323,2020-03,584747.2999999998
324,2020-04,705194.2400000001
325,2020-05,664916.2699999998
326,2020-06,629248.2000000001
327,2020-07,456579.51000000007
328,2020-08,318564.7200000001
329,2020-09,980476.3600000009
330,2020-10,922901.3600000007
331,2020-11,293486.93
332,2020-12,557010.1399999997
333,2021-01,78188.85999999994
