,Date,Sum of Sales
0,2008-01-02,14056.71
1,2008-01-09,83186.9
2,2008-01-16,68677.08
3,2008-01-23,50831.96
4,2008-01-30,41464.020000000004
5,2008-02-06,73905.73000000001
6,2008-02-13,70445.8
7,2008-02-20,52856.94
8,2008-02-27,50616.17
9,2008-03-05,90433.99
10,2008-03-12,108672.00999999998
11,2008-03-19,72488.07
12,2008-03-26,56792.969999999994
13,2008-04-02,53613.92
14,2008-04-09,43713.31
15,2008-04-16,46288.490000000005
16,2008-04-23,31198.979999999996
17,2008-04-30,77282.63000000002
18,2008-05-07,58253.82000000001
19,2008-05-14,40610.79
20,2008-05-21,85626.8599999999
21,2008-05-28,182243.68
22,2008-06-04,245439.02999999997
23,2008-06-11,164362.69
24,2008-06-18,114599.22999999998
25,2008-06-25,117774.46000000002
26,2008-07-02,78782.99000000002
27,2008-07-09,36888.350000000006
28,2008-07-16,42653.68000000001
29,2008-07-23,39346.96
30,2008-07-30,44934.44
31,2008-08-06,57037.78
32,2008-08-13,54747.41
33,2008-08-20,32691.14
34,2008-08-27,38585.42
35,2008-09-03,51496.06
36,2008-09-10,49974.090000000004
37,2008-09-17,46291.55
38,2008-09-24,38787.57
39,2008-10-01,37212.810000000005
40,2008-10-08,27457.47
41,2008-10-15,26348.269999999997
42,2008-10-22,25566.44
43,2008-10-29,167094.06000000003
44,2008-11-05,170268.06
45,2008-11-12,132966.34000000003
46,2008-11-19,393693.77
47,2008-11-26,89457.85
48,2008-12-03,73258.79000000001
49,2008-12-10,48982.79
50,2008-12-17,70303.3
51,2008-12-24,62096.3
52,2008-12-31,44893.43
53,2009-01-07,51935.75
54,2009-01-14,97084.54000000001
55,2009-01-21,73509.91
56,2009-01-28,61371.72999999999
57,2009-02-04,56608.380000000005
58,2009-02-11,49940.090000000004
59,2009-02-18,47015.479999999996
60,2009-02-25,72223.32
61,2009-03-04,55837.59
62,2009-03-11,119709.18999999999
63,2009-03-18,65406.149999999994
64,2009-03-25,59365.990000000005
65,2009-04-01,65538.06
66,2009-04-08,78961.37000000001
67,2009-04-15,70225.81
68,2009-04-22,83049.38
69,2009-04-29,53943.03
70,2009-05-06,42902.76
71,2009-05-13,69104.68000000001
72,2009-05-20,46338.409999999996
73,2009-05-27,47909.94
74,2009-06-03,57200.0
75,2009-06-10,30520.620000000003
76,2009-06-17,30107.620000000003
77,2009-06-24,29370.89
78,2009-07-01,31416.91
79,2009-07-08,21294.750000000004
80,2009-07-15,39145.29000000001
81,2009-07-22,30425.53
82,2009-07-29,34381.45
83,2009-08-05,33843.07
84,2009-08-12,38196.21000000001
85,2009-08-19,23104.420000000002
86,2009-08-26,63199.770000000004
87,2009-09-02,60241.91000000001
88,2009-09-09,28573.500000000004
89,2009-09-16,40038.75000000001
90,2009-09-23,48597.84
91,2009-09-30,48263.28999999999
92,2009-10-07,41142.33
93,2009-10-14,28867.12
94,2009-10-21,151803.08000000002
95,2009-10-28,73166.19
96,2009-11-04,103796.15000000002
97,2009-11-11,68880.65
98,2009-11-18,43515.84
99,2009-11-25,50334.67999999999
100,2009-12-02,41120.64
101,2009-12-09,30774.399999999998
102,2009-12-16,46545.619999999995
103,2009-12-23,32126.199999999997
104,2009-12-30,56726.43000000001
105,2010-01-06,50932.579999999994
106,2010-01-13,73052.12999999999
107,2010-01-20,49359.53999999999
108,2010-01-27,43726.69
109,2010-02-03,47109.62
110,2010-02-10,65386.71000000001
111,2010-02-17,39896.8
112,2010-02-24,39626.07
113,2010-03-03,44453.98999999999
114,2010-03-10,87802.03000000001
115,2010-03-17,38195.73
116,2010-03-24,102985.99
117,2010-03-31,83748.78000000001
118,2010-04-07,38988.64
119,2010-04-14,64345.13000000001
120,2010-04-21,49656.939999999995
121,2010-04-28,46843.310000000005
122,2010-05-05,50084.869999999995
123,2010-05-12,43429.450000000004
124,2010-05-19,48052.259999999995
125,2010-05-26,35480.259999999995
126,2010-06-02,61419.320000000014
127,2010-06-09,29617.73
128,2010-06-16,32073.96
129,2010-06-23,46435.92999999999
130,2010-06-30,39490.229999999996
131,2010-07-07,32872.2
132,2010-07-14,47818.409999999996
133,2010-07-21,35718.37999999999
134,2010-07-28,40774.04
135,2010-08-04,24272.47
136,2010-08-11,24473.799999999996
137,2010-08-18,25429.890000000003
138,2010-08-25,36059.01000000001
139,2010-09-01,58818.73
140,2010-09-08,38419.270000000004
141,2010-09-15,46359.759999999995
142,2010-09-22,51888.06
143,2010-09-29,30511.469999999998
144,2010-10-06,26443.180000000004
145,2010-10-13,27765.109999999997
146,2010-10-20,35498.23
147,2010-10-27,65432.86999999999
148,2010-11-03,279092.19
149,2010-11-10,42435.840000000004
150,2010-11-17,134646.13
151,2010-11-24,369802.43
152,2010-12-01,177227.58
153,2010-12-08,81961.47
154,2010-12-15,52319.55
155,2010-12-22,50561.11
156,2010-12-29,41710.15
157,2011-01-05,59393.57000000001
158,2011-01-12,67647.24
159,2011-01-19,52976.09
160,2011-01-26,74829.76000000001
161,2011-02-02,71328.89000000001
162,2011-02-09,83636.14
163,2011-02-16,52317.740000000005
164,2011-02-23,48408.32
165,2011-03-02,49374.41999999999
166,2011-03-09,111829.87000000001
167,2011-03-16,65212.29
168,2011-03-23,99334.49
169,2011-03-30,106889.36000000002
170,2011-04-06,48159.450000000004
171,2011-04-13,33417.299999999996
172,2011-04-20,84022.63
173,2011-04-27,46097.35999999999
174,2011-05-04,59192.2
175,2011-05-11,37202.80999999999
176,2011-05-18,48209.96000000001
177,2011-05-25,42745.0
178,2011-06-01,51873.59000000001
179,2011-06-08,34698.43
180,2011-06-15,36814.76
181,2011-06-22,38356.68
182,2011-06-29,40835.39
183,2011-07-06,22297.59
184,2011-07-13,37285.25
185,2011-07-20,29206.08
186,2011-07-27,36963.47
187,2011-08-03,26859.8
188,2011-08-10,30140.149999999998
189,2011-08-17,24783.56
190,2011-08-24,32166.85
191,2011-08-31,56541.04000000001
192,2011-09-07,28706.079999999998
193,2011-09-14,32539.79
