,Year_Month,"FTR Truck Loadings (000s, SA)_freight_m_trucking","FTR Active Truck Utilization (%, SA)_freight_m_trucking","Reefer Trailer Loadings (000s, SA)_freight_m_trucking","Tank Trailer Loadings (000s, SA)_freight_m_trucking","Chemicals & Allied Products (000s, SA)_freight_m_trucking",Spot TL Rates (w/o FSC)_rates_m_trucking,Total LTL (w/o FSC)_rates_m_trucking,Total LTL (w/ FSC)_rates_m_trucking,Contract TL Tank Rates (w/o FSC)_rates_m_trucking,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking","New Truck Lead Time (N.A. Backlog/Build Ratio, months)_indicators_m_trucking",B50001_indicators_m_trucking,GMFN_indicators_m_trucking,G325_indicators_m_trucking,G332_indicators_m_trucking,ISM_indicators_m_trucking,PORTEU_indicators_m_trucking,CASS_indicators_m_trucking,MANEMP_indicators_m_trucking,USTRADE_indicators_m_trucking,LEI_indicators_m_trucking,SPREAD_indicators_m_trucking,ISRATIO_indicators_m_trucking,NDCGO_indicators_m_trucking,CF3M_indicators_m_trucking,PUBCON_indicators_m_trucking,D/GAL_indicators_m_trucking,D/STOCK_indicators_m_trucking,Change in Payroll Employment (000's)_driver_indicators_m_trucking,Change in Truck Emp. (000's)_driver_indicators_m_trucking,LABORINDEX_driver_indicators_m_trucking,"Total Class 8, North America_OEM Net Orders_indicators_m_trucking_trailer","Total Class 8, North America_OEM Net Orders_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_OEM Net Orders_Y/Y % Change_indicators_m_trucking_trailer","Total Class 8, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Class 8, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Class 8, North America_Retail Sales (Ward's)_indicators_m_trucking_trailer","Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Retail Sales (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Class 4, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Class 4, North America_Retail Sales (Ward's)_indicators_m_trucking_trailer","Class 4, North America_Inventories (Ward's)_indicators_m_trucking_trailer","Class 6-7 Bus, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer",FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,FTR Truck Loadings_Y/Y % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_Y/Y % Change_freight_m_trucking_trailer,"FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Carloadings_Y/Y % Change_freight_m_trucking_trailer,"FTR Class 8 Truck Utilization (%, SA)_freight_m_trucking_trailer",BUILD FOR_Total_Trailer,BUILD FOR_Flatbed,BUILD FOR_Liquid_Tank,BUILD FOR_Dry_Tank,BUILD FOR_Dump,BUILD FOR_Lowbed,BUILD FOR_All_Other,Change in Distillate Fuel Inventories_x,Intermodal Revenue Movements (IANA-ETSO)_Total_x,FTR Intermodal Competitive Index_Intermodal Competitive Index (0=Neutral)_x,U.S. Origin Intermodal Volumes_International_x,Canada Origin Intermodal Volumes_Domestic_x,"N.A. Port Activity, Total TEUs_Exports_x","West Coast Port Activity, Total TEUs_Exports_x","Gulf Coast Port Activity, Total TEUs_Exports_x","Western Canadian Port Activity, Total TEUs_Exports_x",Stationary_Sum_of_Sales
0,2008-01,57633.60898406678,88.2946503301861,3940.6387919238014,6915.7827042500085,3013.8686838792946,96.93228937868658,99.75550122249388,114.408274789431,99.99590132623871,16185.0,4.548055250534588,105.0619,111.0493,116.8145,117.1677,50.3,1589857.2,1.129,13725.0,15569.0,-0.5,3.28,1.27,68327.0,-0.2633333333333333,294251.0,3.3080000000000003,130963.0,11.0,-2.0,116.6213758699814,,,,18095.0,27.600310274310694,-51.67837209923358,17273.0,17.711598746081506,-3.7276833727683423,-18.58959201120468,-10.826287059830888,-34.57279723574682,15858.0,13.710024379750465,-27.608874281018906,14.67452451111706,-11.794280062639086,-5.728403828798845,-22.81481660933185,2261.0,4488.0,18764.0,3297.0,-2.7498820191368845,-5.114612915515371,-1.8551899610147249,-5.115789496562373,3093.638815309171,1.7945642710762932,2.006056604221662,83.45386578886405,10291.0,1031.0,594.0,118.0,629.0,161.0,969.0,-2981.0,1156094.0,3.3419928682387154,557011.0,46969.0,1035741.59,428531.27,90322.59,70230.0,
1,2008-02,57175.659827921445,87.99840721787433,3927.115595155517,6836.9394718733265,2975.285846976914,99.71985761789921,99.75550122249388,114.86784074480512,100.2764862529906,11091.0,5.234215073773759,104.7094,110.0052,115.6614,116.8983,47.6,1582819.7000000004,1.134,13696.0,15528.0,-0.2,2.97,1.28,66639.0,-0.4933333333333333,299323.0,3.377,117636.0,-79.0,-4.0,116.60357765410684,,,,13367.0,-26.128764852169105,-57.03034589173203,13629.0,-21.09650900248944,-4.198225975825009,-28.575949894224838,-16.623657204585008,-40.6915688367129,14265.0,-10.045402951191829,-8.198725786730165,-18.66473556344609,-16.65549597855228,2.1970778864110807,-24.643299350822183,2824.0,3912.0,18603.0,2192.0,0.5904212959484845,-4.132064158659877,1.8418674866223173,-2.2243195274741723,3167.4784605434265,2.386821786333093,5.3965637398673225,83.94534233884481,11750.0,1178.0,679.0,135.0,718.0,184.0,1104.0,-13327.0,1088826.0,2.285575758568439,501961.0,44924.0,1138044.52,478707.3300000001,100410.66,86567.0,-20129.70999999985
2,2008-03,56814.70055326853,87.79015461296406,3922.8533757619734,6758.12943932563,2941.079312590317,103.34785300341422,100.48899755501223,117.0708577991548,99.72761242077074,14647.0,5.466012084592143,104.4616,109.3938,114.5234,116.8947,48.3,1521727.0,1.16,13659.0,15535.0,0.0,2.96,1.28,66473.0,-0.5933333333333334,306539.0,3.881,107784.0,-49.0,2.0,116.70113565467665,,,,13937.0,4.2642328121493165,-43.78428525330752,15326.0,12.451390417492108,-5.142497317971917,-24.09771208897846,-6.4061037932771825,-42.21916103803768,9943.0,-30.29793200140203,-32.989621242755085,18.702969728301447,-19.271036799749986,-6.795043073662876,-24.84863492849625,1764.0,6110.0,16986.0,1529.0,0.9638544726819688,-6.99026516073552,0.6826468915793082,-4.591547562115139,3164.4749878084526,-0.0948221991842079,1.1713303189223143,83.95482599531438,12333.0,1237.0,713.0,141.0,753.0,194.0,1158.0,-9852.0,1082825.0,1.9240757268211977,481100.0,46727.0,1167741.5499999998,500866.45,93384.28,80451.0,63585.28000000026
3,2008-04,56916.81385151488,89.63986714400671,3978.6334794875124,6858.428982158422,2906.5912487672967,111.71808484538444,101.58924205378977,122.81112290169882,99.05728725732716,14264.0,4.051478924044109,103.6704,108.5543,113.1064,115.0098,48.8,1606410.35,1.171,13599.0,15434.0,0.1,2.52,1.27,69532.0,-0.7266666666666667,304512.0,4.084,107051.0,-240.0,-2.0,117.13325815325764,22133.0,,,16524.0,18.562100882542865,-38.403041825095045,13815.0,-9.859063030144856,-0.2753669510486056,-38.58581270345977,-20.85672537106822,-42.061704762977136,11065.0,11.28432062757718,-35.45846943537097,-19.327365110089524,-20.97179426404361,-3.4302095689996093,-30.219767137312797,1858.0,3453.0,17294.0,1956.0,-0.0140027293319633,-2.5467529130362765,-2.9112244271323084,-2.905609016423849,2955.033943653713,-6.61850844015639,3.447411522627064,84.97722925954082,11583.0,1031.0,579.0,154.0,759.0,182.0,931.0,-733.0,1158286.0,5.986521097965696,528843.0,53497.0,1156787.83,486063.84,101642.94,84739.0,-110672.19000000034
4,2008-05,56194.24688859967,89.13481800366564,3990.692208911952,6804.610846280943,2872.1850628004445,117.5257026506317,101.31418092909536,123.96823212862907,97.82823218718764,12060.0,4.344198464790299,103.0863,108.1126,112.0097,113.9287,48.8,1656702.7999999996,1.162,13564.0,15379.0,-0.1,2.39,1.26,68680.0,-0.7400000000000001,305320.0,4.425,113941.0,-177.0,-6.0,117.57933249493091,15372.0,-30.54714679437944,,15452.0,-6.487533284918902,-25.682954982685647,14280.0,3.3659066232356154,3.6710140282537385,-36.43907674169022,14.177436595083082,-41.31455399061033,14097.0,27.401717126073198,-23.31501931132024,5.9384560014396275,-11.584480600750934,5.186474221175819,-28.50466747840205,2595.0,4587.0,17632.0,1637.0,-0.7945869852986731,-5.080068118373415,3.273510296269766,0.2451101496290242,3059.748460056244,3.5435977521482527,7.935335410092303,84.69211664198883,12336.0,1098.0,616.0,165.0,808.0,194.0,991.0,6890.0,1184144.0,7.9408008617196755,541259.0,53653.0,1185089.63,490618.98,105424.64,89548.0,284172.4099999985
5,2008-06,55726.61557110427,88.9257427046852,3963.7999803165667,6759.024721451297,2833.9287684690307,123.05935226875192,101.9559902200489,125.51993415317257,98.08800250869785,13530.0,4.319085155989787,102.8445,106.8543,110.6953,111.8365,49.8,1681471.1,1.166,13504.0,15343.0,0.0,2.3,1.25,67801.0,-0.7233333333333333,307558.0,4.677,121710.0,-171.0,-11.0,118.13233599995267,15890.0,3.36976320582878,,14798.0,-4.232461817240485,-29.26386233269599,14580.0,2.1008403361344463,-1.1058263971462592,-36.25256767943097,4.961702127659584,-43.46291372513064,14772.0,4.788252819748884,-21.625636672325967,11.058263971462543,-21.03546841660292,-1.2618808187627728,-27.866055241548466,2104.0,4342.0,16972.0,1966.0,-0.6313163254071497,-6.331131260458534,-4.546455050814702,-6.1960239320675825,2939.645693416695,-3.92524968007798,1.3664031962035803,84.49168853807566,14417.0,1284.0,721.0,192.0,945.0,227.0,1158.0,7769.0,1138434.0,3.4360654097347347,518575.0,49592.0,1172191.7400000002,492464.11,102145.83,81948.0,77108.21000000252
6,2008-07,55459.836888911435,90.59102133579941,3997.1512297414533,6650.1548373670585,2747.5921050462075,125.5372955785183,101.31418092909536,124.66687358054364,96.20537748682024,11677.0,4.850274119352196,102.3002,106.2007,109.5787,110.0437,50.0,1700146.3,1.096,13430.0,15307.0,-0.7,2.28,1.26,67546.0,-0.91,310609.0,4.703,130906.0,-196.0,-6.0,118.46677811337544,18662.0,17.444933920704848,,19515.0,31.87592917961888,30.80635431329177,17136.0,17.530864197530867,-0.3583022724540141,-30.791201082327003,-6.081245439065919,-44.86648579180351,15399.0,4.244516653127528,-17.062530295685896,8.570408891608029,-7.041208311506897,-7.306656153492341,-32.33241395850821,2135.0,4743.0,15315.0,2132.0,0.1797304170433999,-4.111317862962527,1.2257510947815349,-2.1465197864568464,2880.472312680842,-2.012942609661117,-6.003380857356842,84.29526314370568,12687.0,1076.0,623.0,160.0,775.0,218.0,1284.0,9196.0,1202898.0,7.556685586664082,547388.0,52129.0,1157956.2399999998,487717.41,104947.8,78917.0,-383922.8000000006
7,2008-08,54439.24888405608,89.20523822600691,3939.5200209621808,6556.94583642549,2700.2434259097918,123.70299151523932,100.21393643031784,122.69978587041409,89.95518163358011,12435.0,4.3401880141010585,100.7353,105.1591,107.5538,110.0232,49.2,1758316.85,1.127,13358.0,15249.0,-0.8,2.24,1.29,66182.0,-1.0466666666666666,313684.0,4.302,132973.0,-278.0,-5.0,118.87571747418664,18160.0,-2.6899582038366736,,16505.0,-15.42403279528568,8.8648506035222,16848.0,-1.6806722689075682,-1.8607008398494047,-26.703316510454226,6.500906500906512,-38.703105590062115,14707.0,-4.4937982985908125,-24.041937816341285,-8.18501995773656,-13.394755492558474,-1.8022967321188017,-32.13677725931097,2192.0,3949.0,14819.0,2211.0,-1.2695140750503708,-4.819985700852613,-0.1863586983346099,-2.1438623695016923,2866.7113012943432,-0.4777345481127626,-6.0404750461144125,83.82032658320009,13988.0,1187.0,687.0,176.0,855.0,240.0,1415.0,2067.0,1205475.0,1.5683949762012463,541377.0,51719.0,1151683.83,486482.24,102782.44,77031.0,-11772.910000000413
8,2008-09,53302.520845806495,85.33657526239877,4000.945604914115,6146.165871038601,2517.8540474893284,116.43315113885923,98.83863080684596,119.737887885939,91.51445653728315,8677.0,3.825827000447027,96.3666,101.408,100.284,108.213,44.8,1707243.9,1.08,13275.0,15179.0,0.0,2.09,1.31,63660.0,-1.6499999999999997,308559.0,4.024,127679.0,-460.0,-13.0,119.26519768542185,17140.0,-5.616740088105731,,15804.0,-4.247197818842774,16.565865171854256,16818.0,-0.1780626780626737,-3.659166359277022,-25.63494172582665,16.869325551232173,-35.375857277332024,12413.0,-15.598014550894135,-36.16025509154496,-1.6571194762684094,-17.24197297064647,-5.850823843641151,-35.188958183218624,1652.0,4078.0,14256.0,2030.0,-0.8321693827883059,-5.576118548809427,-0.4906978003890949,-4.626213913298449,2830.4021315907453,-1.2665792222329442,-9.382993716686606,83.62371699523526,14617.0,1240.0,718.0,185.0,893.0,251.0,1477.0,-5294.0,1175784.0,1.30971812307623,526161.0,53018.0,1056996.4500000002,439091.67,76747.73999999999,70990.0,25634.280000000435
9,2008-10,55683.391133507306,89.7734888066612,4062.7965194270014,7517.237463254154,2775.89444827466,109.51429154923822,98.4718826405868,115.8963546870761,89.12398672172672,8862.0,3.1907628382697637,97.2832,103.5469,104.8596,105.9491,38.9,1753003.25,1.05,13147.0,15101.0,-1.0,1.3699999999999997,1.36,59476.0,-1.6033333333333335,314332.0,3.576,127595.0,-481.0,-4.0,119.77739467192578,14367.0,-16.178529754959158,,16651.0,5.3594026828651,24.261194029850746,15842.0,-5.80330598168629,-7.586083671541978,-26.02619373556995,-11.999722549767633,-30.77804452204278,11013.0,-11.278498348505595,-20.500974518154923,-14.6297066777616,-16.215802368313593,-5.593360041403893,-32.6399146561628,1282.0,4268.0,13022.0,1693.0,-0.4787275872737195,-5.030100915268567,1.7404036998318162,-0.9602531878441288,2954.101631840281,4.3703860617153145,-1.7712233475399517,83.52564745707329,13886.0,1178.0,682.0,175.0,848.0,239.0,1404.0,-84.0,1250566.0,-0.3635219939358322,548828.0,55917.0,1045402.83,421160.12,97921.48,68314.0,154467.23999999982
