Year_Month,Sum of Sales,BUILD FOR_Total_Trailer,"Class 4, North America_Inventories (Ward's)_indicators_m_trucking_trailer",G325_indicators_m_trucking,"FTR Active Truck Utilization (%, SA)_freight_m_trucking",Change in Payroll Employment (000's)_driver_indicators_m_trucking,"Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Truck Loadings_Y/Y % Change_freight_m_trucking_trailer,"Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer",Change in Distillate Fuel Inventories_x,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking",FTR Rail Intermodal Loadings_Y/Y % Change_freight_m_trucking_trailer,"Class 6-7 Bus, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer",Change in Distillate Fuel Inventories_x,FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,"Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,"Total Class 8, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Intermodal Competitive Index_Intermodal Competitive Index (0=Neutral)_x,"Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,LEI_indicators_m_trucking,"Western Canadian Port Activity, Total TEUs_Exports_x",FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking","Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",Change in Truck Emp. (000's)_driver_indicators_m_trucking,BUILD FOR_All_Other,PORTEU_indicators_m_trucking,BUILD FOR_All_Other,Change in Truck Emp. (000's)_driver_indicators_m_trucking,"Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_Y/Y % Change_indicators_m_trucking_trailer","Class 4, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer",Canada Origin Intermodal Volumes_Domestic_x
2008-01,381696.5099999995,10291.0,18764.0,116.8145,88.2946503301861,11.0,14.67452451111706,-3.7276833727683423,-5.114612915515371,17.711598746081503,-2981.0,16185.0,-5.115789496562373,3297.0,-2981.0,-2.7498820191368845,-5.728403828798845,1.7945642710762932,1.7945642710762932,27.60031027431069,-10.826287059830886,-5.728403828798845,1.7945642710762932,3.3419928682387154,-10.826287059830886,-3.7276833727683423,-1.8551899610147249,-0.5,70230.0,-1.8551899610147249,16185.0,14.67452451111706,3093.6388153091707,-2.0,969.0,1589857.2,969.0,-2.0,-27.608874281018903,-34.57279723574682,2261.0,-27.608874281018903,46969.0
2008-02,430305.8499999997,11750.0,18603.0,115.6614,87.99840721787433,-79.0,-18.66473556344609,-4.198225975825009,-4.132064158659876,-21.09650900248944,-13327.0,11091.0,-2.2243195274741723,2192.0,-13327.0,0.5904212959484845,2.1970778864110807,2.386821786333093,2.386821786333093,-26.128764852169105,-16.623657204585008,2.1970778864110807,2.386821786333093,2.285575758568439,-16.623657204585008,-4.198225975825009,1.8418674866223173,-0.2,86567.0,1.8418674866223173,11091.0,-18.66473556344609,3167.4784605434265,-4.0,1104.0,1582819.7000000002,1104.0,-4.0,-8.198725786730165,-40.69156883671291,2824.0,-8.198725786730165,44924.0
2008-03,451627.8099999988,12333.0,16986.0,114.5234,87.79015461296407,-49.0,18.70296972830145,-5.142497317971917,-6.99026516073552,12.451390417492105,-9852.0,14647.0,-4.591547562115139,1529.0,-9852.0,0.9638544726819688,-6.795043073662876,-0.0948221991842079,-0.0948221991842079,4.264232812149316,-6.406103793277184,-6.795043073662876,-0.0948221991842079,1.9240757268211977,-6.406103793277184,-5.142497317971917,0.6826468915793082,0.0,80451.0,0.6826468915793082,14647.0,18.70296972830145,3164.474987808453,2.0,1158.0,1521727.0,1158.0,2.0,-32.989621242755085,-42.21916103803768,1764.0,-32.989621242755085,46727.0
2008-04,467417.4799999996,11583.0,17294.0,113.1064,89.63986714400671,-240.0,-19.327365110089524,-0.2753669510486056,-2.5467529130362765,-9.859063030144856,-733.0,14264.0,-2.905609016423849,1956.0,-733.0,-0.0140027293319633,-3.4302095689996093,-6.61850844015639,-6.61850844015639,18.562100882542865,-20.85672537106822,-3.4302095689996093,-6.61850844015639,5.986521097965696,-20.85672537106822,-0.2753669510486056,-2.9112244271323084,0.1,84739.0,-2.9112244271323084,14264.0,-19.327365110089524,2955.033943653713,-2.0,931.0,1606410.35,931.0,-2.0,-35.45846943537098,-42.061704762977136,1858.0,-35.45846943537098,53497.0
2008-05,462676.36999999953,12336.0,17632.0,112.0097,89.13481800366564,-177.0,5.938456001439629,3.6710140282537385,-5.080068118373415,3.365906623235615,6890.0,12060.0,0.2451101496290242,1637.0,6890.0,-0.7945869852986731,5.186474221175819,3.543597752148253,3.543597752148253,-6.4875332849189,14.177436595083082,5.186474221175819,3.543597752148253,7.9408008617196755,14.177436595083082,3.6710140282537385,3.273510296269766,-0.1,89548.0,3.273510296269766,12060.0,5.938456001439629,3059.748460056244,-6.0,991.0,1656702.7999999998,991.0,-6.0,-23.31501931132024,-41.31455399061033,2595.0,-23.31501931132024,53653.0
2008-06,448702.12000000034,14417.0,16972.0,110.6953,88.92574270468522,-171.0,11.058263971462544,-1.105826397146259,-6.331131260458534,2.1008403361344463,7769.0,13530.0,-6.196023932067584,1966.0,7769.0,-0.6313163254071497,-1.2618808187627728,-3.92524968007798,-3.92524968007798,-4.232461817240485,4.961702127659584,-1.2618808187627728,-3.92524968007798,3.436065409734735,4.961702127659584,-1.105826397146259,-4.546455050814702,0.0,81948.0,-4.546455050814702,13530.0,11.058263971462544,2939.645693416695,-11.0,1158.0,1681471.1,1158.0,-11.0,-21.62563667232597,-43.46291372513065,2104.0,-21.62563667232597,49592.0
2008-07,500439.8399999997,12687.0,15315.0,109.5787,90.5910213357994,-196.0,8.570408891608029,-0.3583022724540141,-4.111317862962527,17.53086419753087,9196.0,11677.0,-2.1465197864568464,2132.0,9196.0,0.1797304170433999,-7.306656153492341,-2.012942609661117,-2.012942609661117,31.87592917961888,-6.081245439065919,-7.306656153492341,-2.012942609661117,7.556685586664082,-6.081245439065919,-0.3583022724540141,1.225751094781535,-0.7,78917.0,1.225751094781535,11677.0,8.570408891608029,2880.472312680842,-6.0,1284.0,1700146.3,1284.0,-6.0,-17.062530295685896,-44.86648579180351,2135.0,-17.062530295685896,52129.0
2008-08,435560.54000000056,13988.0,14819.0,107.5538,89.2052382260069,-278.0,-8.18501995773656,-1.8607008398494047,-4.819985700852614,-1.6806722689075682,2067.0,12435.0,-2.1438623695016923,2211.0,2067.0,-1.2695140750503708,-1.802296732118802,-0.4777345481127626,-0.4777345481127626,-15.42403279528568,6.500906500906512,-1.802296732118802,-0.4777345481127626,1.5683949762012463,6.500906500906512,-1.8607008398494047,-0.1863586983346099,-0.8,77031.0,-0.1863586983346099,12435.0,-8.18501995773656,2866.711301294343,-5.0,1415.0,1758316.85,1415.0,-5.0,-24.041937816341285,-38.70310559006212,2192.0,-24.041937816341285,51719.0
2008-09,434402.5300000005,14617.0,14256.0,100.284,85.33657526239877,-460.0,-1.6571194762684094,-3.659166359277022,-5.576118548809427,-0.1780626780626737,-5294.0,8677.0,-4.626213913298449,2030.0,-5294.0,-0.8321693827883059,-5.850823843641151,-1.2665792222329442,-1.2665792222329442,-4.247197818842774,16.869325551232173,-5.850823843641151,-1.2665792222329442,1.30971812307623,16.869325551232173,-3.659166359277022,-0.4906978003890949,0.0,70990.0,-0.4906978003890949,8677.0,-1.6571194762684094,2830.4021315907453,-13.0,1477.0,1707243.9,1477.0,-13.0,-36.16025509154495,-35.375857277332024,1652.0,-36.16025509154495,53018.0
2008-10,447714.7899999996,13886.0,13022.0,104.8596,89.7734888066612,-481.0,-14.6297066777616,-7.586083671541976,-5.030100915268565,-5.803305981686291,-84.0,8862.0,-0.9602531878441288,1693.0,-84.0,-0.4787275872737195,-5.593360041403894,4.3703860617153145,4.3703860617153145,5.3594026828651,-11.999722549767633,-5.593360041403894,4.3703860617153145,-0.3635219939358322,-11.999722549767633,-7.586083671541976,1.7404036998318162,-1.0,68314.0,1.7404036998318162,8862.0,-14.6297066777616,2954.101631840281,-4.0,1404.0,1753003.25,1404.0,-4.0,-20.500974518154912,-30.77804452204278,1282.0,-20.500974518154912,55917.0
